id,information_group_id,type_code,name,description,confidentiality_impact_level,integrity_impact_level,availability_impact_level,confidentiality_impact_description,integrity_impact_description,availability_impact_description
,29,D.16.4,Leadership protection,,2,1,1,,,
,29,D.16.5,Property protection,,1,1,1,,,
,29,D.16.6,Substance control,,2,2,2,,,
,29,D.16.7,Crime prevention,,1,1,1,,,
,29,D.16.8,Trade law enforcement,,2,2,2,,,
,30,D.17.1,Judicial hearings,,2,1,1,,,
,30,D.17.2,Legal defense,,2,3,1,,,
,30,D.17.3,Legal investigation,,2,2,2,,,
,30,D.17.4,Legal prosecution and litigation,,1,2,1,,,
,30,D.17.5,Resolution facilitation,,2,1,1,,,
,31,D.18.1,Criminal incarceration,,1,2,1,,,
,31,D.18.2,Criminal rehabilitation,,1,1,1,,,
,32,D.19.1,Scientific and technological research and innovation,,1,2,1,,,
,32,D.19.2,Space exploration and innovation,,1,2,1,,,
,33,D.20.1,Research and development,,1,2,1,,,
,33,D.20.2,General purpose data and statistics,,1,1,1,,,
,33,D.20.3,Advising and consulting,,1,1,1,,,
,33,D.20.4,Knowledge dissemination,,1,1,1,,,
,34,D.21.1,Inspections and auditing,,2,2,1,,,
,34,D.21.2,Standards setting / reporting guideline development,,1,1,1,,,
,34,D.21.3,Permits and licensing,,1,1,1,,,
,35,D.22.1,Manufacturing,,1,1,1,,,
,35,D.22.2,Construction,,1,1,1,,,
,35,D.22.3,"Public resources, facility, and infrastructure management",,1,1,1,,,
,35,D.22.4,Information infrastructure management,,1,1,1,,,
,36,D.23.1,Federal grants (non-state),,1,1,1,,,
,36,D.23.2,Direct transfers to individuals,,1,1,1,,,
,36,D.23.3,Subsidies,,1,1,1,,,
,36,D.23.4,Tax credits,,2,1,1,,,
,37,D.24.1,Direct loans,,1,1,1,,,
,37,D.24.2,Loan guarantees,,1,1,1,,,
,37,D.24.3,General insurance,,1,1,1,,,
,38,D.25.1,Formula grants,,1,1,1,,,
,38,D.25.2,Project / competitive grants,,1,1,1,,,
,38,D.25.3,Earmarked grants,,1,1,1,,,
,38,D.25.4,State loans,,1,1,1,,,
,39,D.26.1,Military operations,,0,0,0,,,
,39,D.26.2,Civilian operations,,0,0,0,,,
