id,information_class_id,group_code,name,description
14,3,D.1,Defense and national security,"Defense and national security operations protect and advance U.S. National Security interests and, if deterrence fails, decisively defeat threats to those interests. Defense and national security activities include military operations, border protection, and intelligence gathering. Defense operations are subdivided into the following sub-elements:
- Strategic National and Theater Defense - Establishing national and multinational military objectives, sequencing initiatives, defining limits and assessing risks for the use of military and other instruments of national power, developing global plans or theater war plans to achieve these objectives, and providing military forces and other capabilities in accordance with strategic plans;
- Operational Defense - Linking tactics and strategy by establishing operational objectives needed to accomplish the strategic objectives, sequencing events to achieve the operational objectives, initiating actions, and applying resources to bring about and sustain these events; and
- Tactical Defense - The ordered arrangement and maneuver of combat elements in relation to each other and to the enemy to achieve combat objectives.
Impacts to information and many information systems associated with defense and national security missions may affect the security of a broad range of critical infrastructures and key national assets. Systems that, involve command and control of military forces, weapons control29, involve equipment that is an integral part of a weapon or weapons system, are critical to the direct fulfillment of military missions or are otherwise employed in strictly military operations30 are defined under Public Law as national security systems. National security information and national security systems are outside the scope of this guideline. Information assurance responsibilities are delegated to the Department of Defense for systems that are operated by the Department of Defense, or another entity on behalf of the Department of Defense31. Security objectives and impact levels associated with these systems are determined by the Department of Defense."
15,3,D.2,Homeland security,"Homeland Security involves protecting the nation against terrorist attacks. This includes analyzing threats and intelligence, guarding borders and airports, protecting critical infrastructure, and coordinating the response emergencies. The Homeland Security Line of Business is defined by the President's Strategy on Homeland Security. Note: Some of the Critical Mission Areas from the President's strategy are included in other information classes and categories."
16,3,D.3,Intelligence operations,"Intelligence operations involve the development and management of accurate, comprehensive, and timely foreign intelligence on national security topics. Information systems, the function, operation, or use of, which involve intelligence activities or are critical to the direct fulfillment of intelligence missions are defined under Public Law as national security systems. National security information and national security systems are outside the scope of this guideline. Security objectives and impact levels associated with national security systems are determined by the head of each agency exercising control of the system."
17,3,D.4,Disaster management,"Disaster management involves the activities required to prepare for, mitigate, respond to, and repair the effects of all physical and humanitarian disasters whether natural or man-made. Compromise of much information associated with any of the missions within the disaster management mission area may seriously impact the security of a broad range of critical infrastructures and key national assets."
18,3,D.5,International affairs and commerce,"International Affairs and Commerce involves the non-military activities that promote U.S. policies and interests beyond our national borders, including the negotiation of conflict resolution, treaties, and agreements. In addition, this function includes: foreign economic development and social/political development; diplomatic relations with other Nations; humanitarian, technical and other developmental assistance to key Nations; and global trade. Information that is protected by procedures established and authorized under criteria specified in an Executive Order or an Act of Congress to be kept classified in the interests of foreign policy are national security related35. Security objectives and impact levels associated with such national security information are determined by the head of each agency exercising control of the system and are outside the scope of this guideline."
19,3,D.6,Natural resources,"The Natural Resources mission area includes all activities involved in conservation planning, land management, and national park/monument tourism that affect the nation's natural and recreational resources, both private and federal. Note: Energy-related natural resources are covered in the Energy Management mission area."
20,3,D.7,Energy,"Energy refers to all actions performed by the government to ensure the procurement and management of energy resources, including the production, sale and distribution of energy, as well as the management of spent fuel resources. Energy management includes all types of mass- produced energy (e.g., hydroelectric, nuclear, wind, solar, or fossil fuels). Also included in this mission area is the oversight of private industry."
21,3,D.8,Environmental management,Environmental management includes all functions required to determine proper environmental standards and ensure their compliance.
22,3,D.9,Economic development,"Economic Development includes the activities required to promote commercial/industrial development and to regulate the American financial industry to protect investors. It also includes the management and control of the domestic economy and the money supply, and the protection of intellectual property and innovation. Note: The promotion of U.S. business overseas is captured in the function, ""International Affairs and Commerce."""
23,3,D.10,Community and social services,"Community and Social Services includes all activities aimed at creating, expanding, or improving community and social development, social relationships, and social services in the United States. This includes all activities aimed at locality-specific or nationwide social development and general social services and general community development and social services programs, as well as earned and unearned benefit programs that promote these objectives."
24,3,D.11,Transportation,"Transportation involves all federally supported activities related to the safe passage, conveyance, or transportation of goods and/or people. Note that impacts to some information and many information systems associated with transportation activities may affect the security of, not only the transportation infrastructure, but also to a broad range of other critical infrastructures and key national assets."
25,3,D.12,Education,"Education refers to those activities that impart knowledge or understanding of a particular subject to the public. Education can take place at a formal school, college, university or other training program. This mission area includes all government programs that promote the education of the public, including both earned and unearned benefit programs."
26,3,D.13,Workforce management,"Workforce Management includes those activities that promote the welfare and effectiveness of the Nation's workforce by improving their proficiency, working conditions, advancing opportunities for profitable employment, and strengthening free collective bargaining."
27,3,D.14,Health,Public Health involves Federal programs and activities charged with ensuring and providing for the health and well being of the public. This includes the direct provision of health care services and immunizations as well as the monitoring and tracking of public health indicators for the detection of trends and identification of widespread illnesses/diseases. It also includes both earned and unearned health care benefit programs. Note that impacts to some public health information and information systems may affect the security of critical elements of the public health infrastructure.
28,3,D.15,Income security,"Income Security includes activities designed to ensure that members of the public are provided with the necessary means - both financial and otherwise - to sustain an adequate level of existence. This includes all benefit programs, both earned and unearned, that promote these goals for members of the public."
29,3,D.16,Law enforcement,"Law enforcement involves the protection of people, places, and things from criminal activity resulting from non-compliance with U.S. laws. This includes patrols, undercover operations, response to emergency calls, as well as arrests, raids, and seizures of property. Impacts to some information and information systems associated with law enforcement missions may affect the security of a broad range of critical infrastructures and key national assets. Some information associated with Federal law enforcement is categorized as national security information. Rules governing establishment of impact levels and controls associated with national security information are governed by a separate set of policies and are outside the scope of this guideline. Confidentiality and integrity impacts are often determined by statutory and regulatory requirements that vary by violation."
30,3,D.17,Litigation and judicial services,Litigation and judicial activities involve all activities necessary for the development and oversight of Federal programs.
31,3,D.18,Federal correctional activities,Correctional Activities involves all Federal activities that ensure the effective incarceration and rehabilitation of convicted criminals.
32,3,D.19,General sciences and innovation,"General Science and Innovation includes all Federal activities to meet the national need to advance knowledge in this area. This includes general research and technology programs, space exploration activities, and other research and technology programs that have diverse goals and cannot be readily classified into another mission area or information type."
33,3,D.20,Knowledge creation and management,"Knowledge Creation and Management involves the programs and activities in which the Federal Government creates or develops a body or set of knowledge, the manipulation and analysis of which can provide inherent benefits for both the Federal and private sector."
34,3,D.21,Regulatory compliance and enforcement,"Regulatory Compliance and Enforcement involves the direct monitoring and oversight of a specific individual, group, industry, or community participating in a regulated activity via market mechanisms, command and control features, or other means to control or govern conduct or behavior."
35,3,D.22,Public goods creation and management,"The construction, manufacturing, administration, and/or management of goods, structures, facilities, common resources, etc. used for the general well being of the American public or society at large."
36,3,D.23,Federal financial assistance,"Federal Financial Assistance is the provision of earned and unearned financial or monetary-like benefits to individuals, groups, or corporations."
37,3,D.24,Credit and insurance,Credit and Insurance involves the use of government funds to cover the subsidy cost of a direct loan or loan guarantee or to protect/indemnify members of the public from financial losses.
38,3,D.25,Transfers to state/local governments,Transfers to States and Local Governments involve the transfer of funds or financial assistance from the Federal government to State and Local governments and Indian tribes.
39,3,D.26,Direct services for citizens,"Direct Services for Citizens refers to the delivery of a good or service to (or on behalf of) the citizenry by the federal government with no other intervening persons, conditions, or organizations."
